Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2006-03-24,YESBANK,EQ,90.85,91.4,92.5,90.0,91.8,92.0,91.98,142673,1312323220000.0,,116272,0.8150000000000001
2006-03-27,YESBANK,EQ,92.0,91.0,97.5,91.0,97.2,96.55,94.55,297841,2815962640000.0,,170945,0.5739
2006-03-28,YESBANK,EQ,96.55,97.5,104.8,97.5,101.95,101.2,101.7,746858,7595906965000.001,,256342,0.3432
2006-03-29,YESBANK,EQ,101.2,101.2,103.0,99.6,100.5,100.7,100.48,188100,1889988780000.0,,88416,0.47000000000000003
2006-03-30,YESBANK,EQ,100.7,101.4,102.0,99.0,100.55,100.8,100.69,121215,1220460360000.0,,66467,0.5483
2006-03-31,YESBANK,EQ,100.8,100.25,101.4,100.0,101.0,100.55,100.65,86554,871194460000.0,,43897,0.5072
2006-04-03,YESBANK,EQ,100.55,102.7,103.5,101.0,101.55,102.0,101.98,95065,969486800000.0,,55252,0.5811999999999999
2006-04-04,YESBANK,EQ,102.0,102.5,102.5,100.0,100.0,100.4,100.91,111108,1121146860000.0,,66785,0.6011
2006-04-05,YESBANK,EQ,100.4,102.0,103.65,100.0,102.05,101.95,101.97,358065,3651232765000.0,,273357,0.7634000000000001
2006-04-07,YESBANK,EQ,101.95,102.5,102.5,100.2,100.85,100.9,101.4,476803,4834546350000.0,,293448,0.6154000000000001
2006-04-10,YESBANK,EQ,100.9,101.4,102.5,97.5,98.25,98.35,99.17,151405,1501419070000.0,,93939,0.6204
2006-04-12,YESBANK,EQ,98.35,98.35,100.7,95.05,96.75,95.7,97.36,144669,1408539690000.0,,99530,0.688
2006-04-13,YESBANK,EQ,95.7,97.0,97.8,94.75,96.0,95.7,95.95,230966,2216028875000.0,,166572,0.7212000000000001
2006-04-17,YESBANK,EQ,95.7,96.0,97.75,95.6,96.85,96.6,96.47,167945,1620210175000.0,,129863,0.7732
2006-04-18,YESBANK,EQ,96.6,98.0,100.0,96.5,99.2,99.05,98.96,472866,4679385695000.0,,382057,0.8079999999999999
2006-04-19,YESBANK,EQ,99.05,99.0,101.0,97.1,98.5,98.4,98.64,91620,903760140000.0,,54203,0.5916
2006-04-20,YESBANK,EQ,98.4,99.4,101.0,97.5,98.85,98.65,99.49,182654,1817221925000.0,,132503,0.7254
2006-04-21,YESBANK,EQ,98.65,100.0,100.0,96.8,97.0,97.3,98.04,68235,668975840000.0,,38827,0.569
2006-04-24,YESBANK,EQ,97.3,97.5,98.45,79.0,94.4,94.55,94.19,442759,4170417754999.9995,,332362,0.7506999999999999
2006-04-25,YESBANK,EQ,94.55,94.1,96.45,91.6,92.95,92.25,94.09,126954,1194558735000.0,,84879,0.6686
2006-04-26,YESBANK,EQ,92.25,95.25,95.25,87.3,90.0,92.25,92.69,591525,5482808125000.0,,529611,0.8953
2006-04-27,YESBANK,EQ,92.25,85.3,97.4,85.3,96.8,96.65,95.82,399469,3827571865000.0,,300916,0.7533
2006-04-28,YESBANK,EQ,96.65,91.2,100.9,91.2,99.3,99.75,98.31,898692,8834819475000.0,,494104,0.5498
2006-04-29,YESBANK,EQ,99.75,103.0,103.0,97.0,98.0,97.55,98.93,168481,1666843845000.0,,85649,0.5084000000000001
2006-05-02,YESBANK,EQ,97.55,100.0,100.0,97.3,98.9,99.3,98.63,529886,5226094005000.0,,401229,0.7572
2006-05-03,YESBANK,EQ,99.3,100.0,105.5,97.55,104.75,104.15,101.73,669091,6806497834999.999,,441847,0.6604000000000001
2006-05-04,YESBANK,EQ,104.15,106.0,109.1,102.0,103.55,103.9,106.0,468525,4966324720000.0,,208824,0.4457
2006-05-05,YESBANK,EQ,103.9,99.0,106.0,99.0,104.8,104.95,104.6,228646,2391673235000.0,,134694,0.5891
2006-05-08,YESBANK,EQ,104.95,107.0,107.0,103.2,104.5,104.6,104.53,220449,2304397140000.0,,152617,0.6923
2006-05-09,YESBANK,EQ,104.6,87.5,106.0,87.5,104.5,105.15,104.13,266149,2771301875000.0,,175083,0.6578
